Name PPSH-41 Aperture
ShortName ppshap
//The ammo this gun uses (shortName)
Ammo light
Icon PPSHap
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
ItemID 23763
//Reload time in ticks, 1/20ths of a second
ReloadTime 40
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2
//Damage in half hearts
Damage 8
//The higher this value, the more the bullets spread
Accuracy 6
//Time in ticks between rounds
ShootDelay 2
ShootSound PPSHShoot
ReloadSound PPSHReload
Mode FullAuto
Scope aperturesight
ZoomLevel 2.5
Deployable False
DeployedModel None
ShapelessRecipe ppsh ap
//For guns in which the magazine is integrated
LoadIntoGun 50
//Bullet speed, default 3.0
BulletSpeed 3
